,specimen_id,feature,compartment_type,dimension,value
99,694146546,bias,axon,y,-337.62296125250555
100,694146546,extent,basal_dendrite,x,158.97060160570243
101,694146546,extent,basal_dendrite,y,640.1652005614803
102,694146546,bias,basal_dendrite,x,4.519987715724085
103,694146546,bias,basal_dendrite,y,45.38310515181024
104,694146546,num_branches,axon,none,117.0
105,694146546,num_branches,basal_dendrite,none,69.0
106,694146546,max_branch_order,axon,none,14.0
107,694146546,max_branch_order,basal_dendrite,none,9.0
108,694146546,total_length,axon,none,3856.927925804772
109,694146546,total_length,basal_dendrite,none,3185.736311407383
110,694146546,total_surface_area,basal_dendrite,none,5983.0167307564
111,694146546,mean_diameter,basal_dendrite,none,0.6016030092592592
112,694146546,max_euclidean_distance,axon,none,369.0094227941884
113,694146546,max_euclidean_distance,basal_dendrite,none,353.0402965262322
114,694146546,max_path_distance,axon,none,537.3808743109979
115,694146546,max_path_distance,basal_dendrite,none,434.5470290069107
116,694146546,mean_contraction,axon,none,0.8804317016691116
117,694146546,mean_contraction,basal_dendrite,none,0.896216086452986
118,694146546,soma_percentile,axon,x,0.3268608414239482
119,694146546,soma_percentile,axon,y,1.0
120,694146546,soma_percentile,basal_dendrite,x,0.1689814814814815
121,694146546,soma_percentile,basal_dendrite,y,0.5262345679012346
122,694146546,calculate_number_of_stems,basal_dendrite,none,3.0
123,694146546,surface_area,soma,none,240.61616017724623
124,694146546,stem_exit,basal_dendrite,down,0.3333333333333333
125,694146546,stem_exit,basal_dendrite,side,0.0
126,694146546,stem_exit,basal_dendrite,up,0.6666666666666666
127,694146546,exit_theta,axon,none,0.8624144236833117
128,694146546,exit_distance,axon,none,8.953753130391712
